ID,SPECIES,DBH,HT,SS,FT
1,2,24,NA,NA,1
2,2,23.6,NA,NA,1
3,2,35.47,17.5,NA,1
4,2,15.9,8.64,NA,1
5,2,13.5,NA,NA,1
6,2,23.6,NA,NA,1
7,2,25.33,15,NA,1
8,2,11.1,NA,NA,1
9,2,17.1,NA,NA,1
10,2,19.1,NA,NA,1
11,2,27.5,NA,NA,1
12,2,31.05,16,NA,1
13,2,31.3,NA,NA,1
14,2,21.11,14.25,NA,1
15,2,22.2,NA,NA,1
16,2,35.3,NA,NA,1
17,2,16.4,NA,NA,1
18,2,26.2,NA,NA,1
19,2,23.3,NA,NA,1
20,2,38,NA,NA,1
21,2,28.95,19.5,NA,1
22,2,37.29,19,NA,1
23,2,18.3,NA,NA,1
24,2,27.1,NA,NA,1
25,4,7.7,NA,NA,1
26,4,7.4,NA,NA,1
27,2,14.6,NA,NA,1
28,2,28.3,NA,NA,1
29,1,10.2,10.8,NA,1
30,1,13,NA,NA,1
31,1,20.45,19.75,NA,1
32,2,20.4,23.5,NA,1
33,2,27.6,NA,NA,1
34,2,13.8,NA,NA,1
35,2,28.6,NA,NA,1
36,2,15.15,18.5,NA,1
37,2,23,NA,NA,1
38,2,24.7,NA,NA,1
39,2,17.2,NA,NA,1
40,2,25.65,17,NA,1
41,2,30.6,NA,NA,1
42,2,31.61,18,NA,1
43,2,31.4,NA,NA,1
44,2,20,NA,NA,1
45,4,5.1,NA,NA,1
46,4,7.7,NA,NA,1
