"","ENSAYO","PARCELA","SUBPARC","MEDICION0","MEDICION1","NHA0","NHA1","QD0","QD1","dom_sp","Delta.ANHO","EDAD0","EDAD1","zone","HD0","HD1","BA0","BA1","DummyNA","ingrowth"
"1",1,1,1,2,3,500,500,23.9315691086063,24.3592118099088,4,2,41,43,2,30,30.64,22.4906618070493,23.301632534647,0,NA
"2",1,1,1,3,4,500,500,24.3592118099088,25.8881209486127,4,5,43,48,2,30.64,32.4275,23.301632534647,26.3184884973629,0,NA
"3",1,1,1,4,5,500,500,25.8881209486127,27.0270975134216,4,3,48,51,2,32.4275,33.6,26.3184884973629,28.6852542013977,0,NA
"4",1,1,1,5,6,500,60,27.0270975134216,24.9143198448871,4,9,51,60,2,33.6,24.8333333333333,28.6852542013977,2.92508979586765,0,NA
"5",1,1,2,2,3,540,520,21.9890545162478,22.6732644997787,4,2,41,43,2,32.3,32.98,20.5067460463074,20.9952637039406,0,NA
"6",1,1,2,3,4,520,440,22.6732644997787,25.6848206963674,4,5,43,48,2,32.98,35.1525,20.9952637039406,22.7979414753708,0,NA
"7",1,1,2,4,5,440,440,25.6848206963674,26.9546167406692,4,3,48,51,2,35.1525,37.06,22.7979414753708,25.1078126910121,0,NA
"8",1,1,3,2,3,600,580,21.1307437950805,21.7458755502802,4,2,41,43,2,27.2,28.12,21.0412094964993,21.5412882150978,0,NA
"9",1,1,3,3,4,580,540,21.7458755502802,23.7308935085252,4,5,43,48,2,28.12,30.155,21.5412882150978,23.8842617543939,0,NA
"10",1,1,3,4,5,540,540,23.7308935085252,24.6971133415913,4,3,48,51,2,30.155,31.6,23.8842617543939,25.8687849715279,0,NA
"11",1,1,4,2,3,440,420,24.5370776951572,25.0300105587558,1,2,41,43,2,29.7,30.32,20.8059827465618,20.6662289973669,0,NA
"12",1,1,4,3,4,420,420,25.0300105587558,26.6613643352002,1,5,43,48,2,30.32,32.06,20.6662289973669,23.4478977254904,0,NA
"13",1,1,4,4,5,420,420,26.6613643352002,27.8898001495341,1,3,48,51,2,32.06,33.8,23.4478977254904,25.6584239274435,0,NA
"14",1,2,1,2,3,240,240,25.6888432333312,26.5864470485747,4,2,41,43,2,29.4,30.02,12.4391361118888,13.3236043996172,0,NA
"15",1,2,1,3,4,240,240,26.5864470485747,28.299050337423,4,5,43,48,2,30.02,32.075,13.3236043996172,15.0954076783704,0,NA
"16",1,2,1,4,5,240,240,28.299050337423,29.7088651191301,4,3,48,51,2,32.075,33.44,15.0954076783704,16.6369322156155,0,NA
"17",1,2,2,2,3,220,220,26.8171417363799,27.5565369245253,4,2,41,43,2,31,32.08,12.4261770421927,13.1208460097545,0,NA
"18",1,2,2,3,4,220,200,27.5565369245253,28.3006009763927,4,5,43,48,2,32.08,32.0125,13.1208460097545,12.5808850178557,0,NA
"19",1,2,2,4,5,200,200,28.3006009763927,29.9235358873245,4,3,48,51,2,32.0125,33.98,12.5808850178557,14.0651930534603,0,NA
"20",1,2,3,2,3,260,200,23.0125383883856,24.3949379995113,4,2,41,43,2,26.5,27.08,10.8141473118195,9.34801314427891,0,NA
