"","ENSAYO","PARCELA","SUBPARC","MEDICION","ANHO","EDAD2","SUPERFICIE","N","NHA","CF","HD","DESCRIPCION","DQ","SDI","AB_NA","AB_NO","AB_ND","AB_Total","ZONA","SDI_perc","AB_Nothofagus","Noth_prop","NA_prop","NO_prop","ND_prop","Dominant","IS"
"1",1,1,1,2,1981,41,500,25,500,5,30,"20 M2/HA",23.9315691086063,2719.1754327538,14.4485773129412,8.04208449410817,0,22.4906618070493,2,2.64304113493565,22.4906618070493,1,0.642425618103087,0.357574381896913,0,"Mixed",NA
"2",1,1,1,3,1983,43,500,25,500,5,30.64,"20 M2/HA",24.3592118099088,2652.05298749402,15.0390239442201,8.26260859042691,0,23.301632534647,2,2.57779805360956,23.301632534647,1,0.645406450464734,0.354593549535266,0,"Mixed",NA
"3",1,1,1,4,1988,48,500,25,500,5,32.4275,"20 M2/HA",25.8881209486127,2433.73833595165,17.1854466843875,9.1330418129754,0,26.3184884973629,2,2.36559600241595,26.3184884973629,1,0.652980002484166,0.347019997515834,0,"Mixed",NA
"4",1,1,1,5,1991,51,500,25,500,5,33.6,"20 M2/HA",27.0270975134216,2290.26651864406,18.7982065896158,9.88704761178185,0,28.6852542013977,2,2.22614125805475,28.6852542013977,1,0.655326477417094,0.344673522582906,0,"Mixed",NA
"5",1,1,1,6,2000,60,500,3,60,5,24.8333333333333,"20 M2/HA",24.9143198448871,308.285938840869,2.92508979586765,0,0,2.92508979586765,2,0.299654228948916,2.92508979586765,1,1,0,0,"NA",NA
"6",1,1,2,2,1981,41,500,27,540,5,32.3,"20 M2/HA",21.9890545162478,3309.35390330153,11.6769071943116,8.82983885199581,0,20.5067460463074,2,3.21669517572379,20.5067460463074,1,0.569417847567982,0.430582152432018,0,"Mixed",NA
"7",1,1,2,3,1983,43,500,26,520,5,32.98,"20 M2/HA",22.6732644997787,3051.92077311545,11.6571308685572,9.33813283538337,0,20.9952637039406,2,2.96646992567879,20.9952637039406,1,0.555226694598234,0.444773305401766,0,"Mixed",NA
"8",1,1,2,4,1988,48,500,22,440,5,35.1525,"20 M2/HA",25.6848206963674,2165.65110257853,12.3143898489748,10.483551626396,0,22.7979414753708,2,2.10501495382996,22.7979414753708,1,0.540153586334905,0.459846413665095,0,"Mixed",NA
"9",1,1,2,5,1991,51,500,22,440,5,37.06,"20 M2/HA",26.9546167406692,2023.08674548895,13.5331486296116,11.5746640614005,0,25.1078126910121,2,1.96644226167313,25.1078126910121,1,0.539001497109946,0.460998502890054,0,"Mixed",NA
"10",1,1,3,2,1981,41,500,30,600,5,27.2,"20 M2/HA",21.1307437950805,3889.58128577269,11.6886881667625,9.35252132973681,0,21.0412094964993,2,3.78067674933422,21.0412094964993,1,0.555514081484108,0.444485918515892,0,"Mixed",NA
"11",1,1,3,3,1983,43,500,29,580,5,28.12,"20 M2/HA",21.7458755502802,3610.7137511244,11.8860116013345,9.65527661376326,0,21.5412882150978,2,3.50961723754425,21.5412882150978,1,0.551778124067988,0.448221875932012,0,"Mixed",NA
"12",1,1,3,4,1988,48,500,27,540,5,30.155,"20 M2/HA",23.7308935085252,2971.81561701621,13.07088609627,10.8133756581239,0,23.8842617543939,2,2.88860763693476,23.8842617543939,1,0.547259372329789,0.452740627670211,0,"Mixed",NA
"13",1,1,3,5,1991,51,500,27,540,5,31.6,"20 M2/HA",24.6971133415913,2809.07150875126,14.3268563055778,11.5419286659501,0,25.8687849715279,2,2.73042020723403,25.8687849715279,1,0.553827956022924,0.446172043977076,0,"Mixed",NA
"14",1,1,4,2,1981,41,500,22,440,5,29.7,"20 M2/HA",24.5370776951572,2309.96836683599,16.1415030541444,4.66447969241744,0,20.8059827465618,2,2.24529147343928,20.8059827465618,1,0.775810652674493,0.224189347325507,0,"NA",NA
"15",1,1,4,3,1983,43,500,21,420,5,30.32,"20 M2/HA",25.0300105587558,2143.93900791798,15.911507055975,4.75472194139181,0,20.6662289973669,2,2.08391077694522,20.6662289973669,1,0.769927936925618,0.230072063074382,0,"NA",NA
"16",1,1,4,4,1988,48,500,21,420,5,32.06,"20 M2/HA",26.6613643352002,1961.17087740857,17.9791212263687,5.46877649912164,0,23.4478977254904,2,1.90625997837118,23.4478977254904,1,0.766769005769907,0.233230994230093,0,"NA",NA
"17",1,1,4,5,1991,51,500,21,420,5,33.8,"20 M2/HA",27.8898001495341,1840.38245350064,19.7358149170797,5.92260901036382,0,25.6584239274435,2,1.78885351420296,25.6584239274435,1,0.769174871102306,0.230825128897694,0,"NA",NA
"18",1,2,1,2,1981,41,500,12,240,5,29.4,"TESTIGO",25.6888432333312,1181.00321575594,7.75894845620339,4.68018765568539,0,12.4391361118888,2,1.14793626116761,12.4391361118888,1,0.62375299911605,0.37624700088395,0,"Mixed",NA
"19",1,2,1,3,1983,43,500,12,240,5,30.02,"TESTIGO",26.5864470485747,1125.1280894145,8.43569463767644,4.88790976194075,0,13.3236043996172,2,1.09362558464367,13.3236043996172,1,0.633139080436733,0.366860919563267,0,"Mixed",NA
"20",1,2,1,4,1988,48,500,12,240,5,32.075,"TESTIGO",28.299050337423,1030.24884367533,9.40602118000589,5.6893864983645,0,15.0954076783704,2,1.00140286656537,15.0954076783704,1,0.623104813093813,0.376895186906187,0,"Mixed",NA
"21",1,2,1,5,1991,51,500,12,240,5,33.44,"TESTIGO",29.7088651191301,961.935109346633,10.4372190252418,6.19971319037371,0,16.6369322156155,2,0.93500185111895,16.6369322156155,1,0.627352380233019,0.372647619766981,0,"Mixed",NA
"22",1,2,2,2,1981,41,500,11,220,5,31,"TESTIGO",26.8171417363799,1018.86894187382,4.26078503643116,8.16539200576157,0,12.4261770421927,2,0.990341591073312,12.4261770421927,1,0.34288784249281,0.65711215750719,0,"Mixed",NA
"23",1,2,2,3,1983,43,500,11,220,5,32.08,"TESTIGO",27.5565369245253,980.503202929217,4.49310581316412,8.62774019659038,0,13.1208460097545,2,0.953050055933158,13.1208460097545,1,0.342440251933739,0.657559748066261,0,"Mixed",NA
"24",1,2,2,4,1988,48,500,10,200,5,32.0125,"TESTIGO",28.3006009763927,858.47431964612,4.66997747956123,7.91090753829446,0,12.5808850178557,2,0.834437864059663,12.5808850178557,1,0.371196261068539,0.628803738931461,0,"Mixed",NA
"25",1,2,2,5,1991,51,500,10,200,5,33.98,"TESTIGO",29.9235358873245,793.509118892293,5.26867079155583,8.79652226190449,0,14.0651930534603,2,0.7712916264674,14.0651930534603,1,0.374589297959165,0.625410702040835,0,"Mixed",NA
"26",1,2,3,2,1981,41,500,13,260,5,26.5,"TESTIGO",23.0125383883856,1494.30880038427,6.31577933096058,4.49836798085888,0,10.8141473118195,2,1.45246959064798,10.8141473118195,1,0.584029341273876,0.415970658726124,0,"Mixed",NA
"27",1,2,3,3,1983,43,500,10,200,5,27.08,"TESTIGO",24.3949379995113,1058.62946570048,6.0040233839816,3.34398976029731,0,9.34801314427891,2,1.02898885845982,9.34801314427891,1,0.642278021148925,0.357721978851075,0,"Mixed",NA
