SP,SPECIES.,ZONE.,M,b0,b1,b2,b3,b4,b5,b6,b7
Rauli,1,1,6,-0.19392205,0.99342476,0.58748585,-0.056864102,0.20239942,0,0,0
Rauli,1,2,5,0.40146938,0.72910704,0.010131845,2.1366375,-0.45997939,4.2432409,-2.2077538,0.21051668
Rauli,1,4,4,0.81559899,-0.009002662,0.025024262,-0.00000629,0.010222988,-0.000143768,0,0
Rauli,1,Todas,5,0.043384101,0.88657485,0.004460521,1.978196,-0.40676847,3.5081552,-1.8417707,0.19647175
Roble,2,1,5,0.159219,0.85260316,0.004780793,1.1150748,-0.19946861,1.7573285,-0.96843261,0.37186114
Roble,2,2,4,0.8046971,-0.023393214,0.042335723,0.0000691,0.011674756,-0.000212514,0,0
Roble,2,3,5,-0.10472826,1.0382903,-0.008250946,2.6750499,-0.66232965,6.1614054,-3.1964698,0.26879337
Roble,2,4,5,-0.2034267,1.0359287,-0.002515543,2.004339,-0.42467135,3.81264,-1.9962607,0.23190876
Roble,2,Todas,5,-0.22514226,1.0584813,-0.005441275,1.8758412,-0.42940975,3.8929903,-2.0120877,0.24514614
Coigue,3,1,5,0.30601932,0.78408752,0.007412901,4.1366507,-1.0254123,9.5536448,-4.9352651,0.11768003
Coigue,3,2,5,0.26399197,0.8514097,0.001365738,2.9729249,-0.57391954,5.3295274,-2.944586,0.36806403
Coigue,3,3,4,0.82269028,-0.051740493,0.070862432,0.000140696,-0.001690498,-0.000178643,0,0
Coigue,3,4,5,0.23818537,0.82996489,0.005103736,1.9113323,-0.37872755,3.6245841,-1.8977191,0.25289679
Coigue,3,Todas,5,0.14474418,0.89155702,0.000744165,2.5911831,-0.60212452,5.7524968,-2.9507866,0.20273874
