"","ID","SPECIE","DBH","HT","SS","FT"
"3443",1101003,1,29.4,25.5,NA,1
"3444",1101003,4,9.9,NA,NA,1
"3445",1101003,1,41,28.9,NA,1
"3446",1101003,4,7.6,NA,NA,1
"3447",1101003,4,7.6,NA,NA,1
"3448",1101003,1,54.6,NA,NA,1
"3449",1101003,1,43.6,NA,NA,1
"3450",1101003,1,NA,NA,NA,1
"3451",1101003,4,13.1,NA,NA,1
"3452",1101003,1,NA,NA,NA,1
"3453",1101003,1,NA,NA,NA,1
"3454",1101003,1,31.6,NA,NA,1
"3455",1101003,4,13.5,NA,NA,1
"3456",1101003,1,NA,NA,NA,1
"3457",1101003,4,NA,NA,NA,1
"3458",1101003,1,33.3,NA,NA,1
"3459",1101003,1,NA,NA,NA,1
"3460",1101003,4,9.3,NA,NA,1
"3461",1101003,4,11.7,NA,NA,1
"3462",1101003,1,NA,NA,NA,1
"3463",1101003,1,34.9,NA,NA,1
"3464",1101003,4,12.8,NA,NA,1
"3465",1101003,1,32.1,NA,NA,1
"3466",1101003,4,12.2,NA,NA,1
"3467",1101003,1,13.9,26.3,NA,1
"3468",1101003,1,40.7,NA,NA,1
"3469",1101003,1,42.4,35.2,NA,1
"3470",1101003,1,NA,NA,NA,1
"3471",1101003,1,38.2,NA,NA,1
"3472",1101003,1,NA,NA,NA,1
"3473",1101003,4,11.5,NA,NA,1
"3474",1101003,1,17.2,NA,NA,1
"3475",1101003,1,28.4,32.4,NA,1
"3476",1101003,1,NA,NA,NA,1
"3477",1101003,1,27.2,NA,NA,1
"3478",1101003,1,NA,NA,NA,1
"3479",1101003,1,23.4,NA,NA,1
"3480",1101003,1,22.9,30.5,NA,1
"3481",1101003,1,55.8,39.5,NA,1
"3482",1101003,4,11.9,NA,NA,1
"3483",1101003,1,40.1,NA,NA,1
"3484",1101003,1,NA,NA,NA,1
"3485",1101003,4,13.1,NA,NA,1
"3486",1101003,4,12.8,7.8,NA,1
"3487",1101003,1,47.1,37.3,NA,1
"3488",1101003,1,21.8,NA,NA,1
"3489",1101003,1,NA,NA,NA,1
"3490",1101003,4,11.4,NA,NA,1
"3491",1101003,4,24.4,16.8,NA,1
"3492",1101003,1,44,37,NA,1
"3493",1101003,4,9.2,NA,NA,1
"3494",1101003,4,12.6,NA,NA,1
"3495",1101003,4,19.5,13.5,NA,1
"3496",1101003,1,NA,NA,NA,1
"3497",1101003,1,6.6,NA,NA,1
"3498",1101003,4,8.4,NA,NA,1
"3499",1101003,4,7.9,NA,NA,1
"3500",1101003,4,6.6,NA,NA,1
"3501",1101003,4,7.9,NA,NA,1
"3502",1101003,4,9.2,NA,NA,1
"3503",1101003,4,10.2,NA,NA,1
"3504",1101003,4,6.8,NA,NA,1
"3505",1101003,4,8.3,NA,NA,1
"3506",1101003,4,9.7,NA,NA,1
"3507",1101003,4,8.2,NA,NA,1
"3508",1101003,4,7.9,NA,NA,1
"3509",1101003,4,9.9,NA,NA,1
"3510",1101003,4,8.4,NA,NA,1
"3511",1101003,4,7.7,NA,NA,1
"3512",1101003,4,8.3,NA,NA,1
"3513",1101003,4,12.9,NA,NA,1
"3514",1101003,4,NA,NA,NA,1
